C1,C2,C3,C4,Score
#FBE5E5,#FFA1C9,#F94892,#E60965,8104
#B99470,#DEAC80,#F7DCB9,#B5C18E,8100
#C5705D,#D0B8A8,#DFD3C3,#F8EDE3,8075
#F1F8E8,#55AD9B,#95D2B3,#D8EFD3,8064
#F2BB7B,#FFDFAF,#FDF5CA,#FFDEDE,8008
#CFFF8D,#A8E890,#749F82,#425F57,8006
#470D21,#9C0F48,#D67D3E,#F9E4D4,7990
#F9C4AA,#FEE4A6,#D2E1C8,#F7F4E3,7955
#FFCCD2,#FF9292,#FFF9B6,#FFE699,7954
#3C3633,#747264,#E0CCBE,#EEEDEB,7950
#A7D129,#616F39,#3E432E,#000000,7943
#CFE8A9,#FFFDE3,#E64848,#C21010,7909
#B3541E,#A13333,#461111,#040303,7892
#625757,#9D8F8F,#BCBAB8,#F9F9F9,7868
#FFC95F,#FFF9C9,#862B0D,#B5C99A,7866
#8D493A,#D0B8A8,#DFD3C3,#F8EDE3,7856
#E79E4F,#A05344,#734046,#321F28,7847
#4C3D3D,#C07F00,#FFD95A,#FFF7D4,7847
#DBAFA0,#BB8493,#704264,#49243E,7840
#FF4301,#FA7D09,#4A3F35,#2F2519,7829
#5C8D89,#74B49B,#A7D7C5,#F4F9F4,7827
#444941,#5F7A61,#D5EEBB,#7FC8A9,7817
#CAF0F8,#90E0EF,#00B4D8,#03045E,7815
#852747,#A2416B,#FF7777,#F5C6A5,7814
#310B0B,#9C3D54,#E2703A,#EEB76B,7805
#FFF6C3,#FFDB89,#850000,#DC0000,7751
#D61C4E,#F77E21,#FAC213,#FEF9A7,7747
#FFCDEA,#FB9AD1,#BC7FCD,#86469C,7727
#F1D4D4,#C060A1,#6A097D,#000000,7724
#ED9455,#FFBB70,#FFEC9E,#FFFBDA,7716
#D8C593,#708160,#DD7631,#BB3B0E,7715
#C51605,#FD8D14,#FFE17B,#CECE5A,7673
#C4B0FF,#8696FE,#4942E4,#11009E,7671
#492F10,#DF5E5E,#E98580,#FDD2BF,7665
#FFEAFE,#CCC1FF,#9EA9F0,#553C8B,7655
#3E64FF,#5EDFFF,#B2FCFF,#ECFCFF,7608
#E2BBE9,#9B86BD,#7776B3,#5A639C,7608
#F0D290,#DE834D,#A3423C,#781D42,7604
#FFEDD3,#FCD2D1,#FE8F8F,#FF5C58,7555
#21E6C1,#278EA5,#1F4287,#071E3D,7545
#A294F9,#CDC1FF,#E5D9F2,#F5EFFF,7510
#821131,#C7253E,#E85C0D,#FABC3F,7504
#EDDBC0,#DBC8AC,#B73E3E,#DD5353,7494
#1F1717,#CE5A67,#F4BF96,#FCF5ED,7494
#4C4B16,#898121,#E7B10A,#F7F1E5,7445
#FF926B,#FFC38B,#FFF3CD,#4D3E3E,7442
#7098DA,#6EB6FF,#90F2FF,#E0FCFF,7433
#F3E0B5,#FFAE6D,#FECD70,#E3C770,7426
#63707E,#93B5B3,#C8DAD3,#F2F6F5,7424
#FDFFAB,#FFCF81,#FFB996,#D9EDBF,7424
#FFAC41,#FF1E56,#323232,#000000,7405
#E26868,#FF8787,#EDEDED,#D8D9CF,7403
#2A3D66,#5D54A4,#9D65C9,#D789D7,7380
#232020,#3A3535,#FF7315,#F4F4F4,7338
