C1,C2,C3,C4,Score
#B2DEEC,#FADCAA,#C56183,#794C74,6608
#FCB1B1,#F0F696,#96F7D2,#F5B5FC,6573
#4CACBC,#6CC4A1,#A0D995,#F6E3C5,6572
#A4D7E1,#DAF1F9,#F0DAB1,#F6EDCF,6556
#DF711B,#FFB740,#FDE49C,#64C9CF,6509
#DAF5FF,#B9E9FC,#B0DAFF,#FEFF86,6509
#C0E218,#F37121,#C70039,#111D5E,6498
#FBEEAC,#F4D160,#8AC4D0,#28527A,6496
#B6EAFA,#FCFFB2,#FFD3A3,#FF55BB,6491
#F2EDD7,#A0937D,#3A6351,#5F939A,6470
#2EB872,#A3DE83,#FEFFE4,#FA4659,6445
#FF5E78,#F9F871,#FFC75F,#845EC2,6441
#FFDF6B,#FF79CD,#AA2EE6,#23049D,6419
#FB743E,#383E56,#9FB8AD,#C5D7BD,6412
#D79ABC,#BAABDA,#9FDFCD,#DCFFCC,6410
#153462,#4FA095,#BAD1C2,#F6F6C9,6394
#FFFFC7,#A9F1DF,#1EAE98,#233E8B,6383
#233567,#315B96,#FBC1BC,#FFDFDF,6376
#FBCB0A,#C70A80,#590696,#37E2D5,6376
#F2BBBB,#ED93CB,#CA82F8,#A1D9FF,6358
#96CEB4,#FFEEAD,#FFAD60,#A02334,6345
#A5E1AD,#4CA1A3,#511281,#21094E,6344
#FFBF00,#FF7000,#540375,#10A19D,6317
#FFF591,#A3F7BF,#05DFD7,#F35588,6285
#FDCB9E,#3F3F44,#CCEABB,#F7F7F7,6259
#3B5360,#8B5E83,#D6B0B1,#BEE5D3,6208
#F2F2B0,#EEC2C2,#D7ACD4,#BAE5D5,6198
#FFBD69,#FF6363,#543864,#202040,6185
#78ABA8,#C8CFA0,#FCDC94,#EF9C66,6172
#F6EFA6,#F6AB6C,#DF5E88,#8FCFD1,6163
#FFA06F,#FFD6A0,#ACBD86,#28544B,6120
#29252C,#33425B,#D8E9F0,#F33535,6114
#FADA7A,#F5F0CD,#81BFDA,#B1F0F7,6067
#EEE4AB,#E5CB9F,#99C4C8,#68A7AD,6045
#272727,#4F98CA,#50D890,#EFFFFB,6030
#132743,#407088,#FFB5B5,#FFCBCB,6010
#9088D4,#706897,#EBCFC4,#FFF3E2,5996
#F6FCAE,#D89FFF,#C7F5FF,#FFABE5,5973
#D8EBE4,#282846,#007580,#FED049,5961
#2973B2,#48A6A7,#9ACBD0,#F2EFE7,5906
#8ED6FF,#FFE3B0,#FFC1C8,#FFCECE,5885
#F56FAD,#C32BAD,#7027A0,#1DB9C3,5881
#FFDCB4,#C060A1,#6A097D,#00005C,5879
#A3CCDA,#BDE3C3,#F8F7BA,#F5D2D2,5864
#F0EDCF,#40A2D8,#0B60B0,#000000,5859
#EFECEC,#FFB0B0,#FC6736,#0C2D57,5855
#E9E8E8,#CD5888,#913175,#20262E,5826
#FBAC91,#FBE1B6,#7FDFD4,#A7EFE9,5794
#396362,#4B8E8D,#F6C89F,#FFE7D1,5781
#FFCBCB,#FFB1B1,#1679AB,#102C57,5774
#E1D89F,#D89216,#374045,#2C061F,5769
#4682A9,#749BC2,#91C8E4,#FFFBDE,5769
#F4EDD3,#A5BFCC,#7E99A3,#4C585B,5767
#BE3144,#303841,#3A4750,#D3D6DB,5766
#EDB7ED,#82A0D8,#8DDFCB,#ECEE81,5731
#E3CCAE,#B8621B,#262A56,#000000,5703
#17706E,#FB7813,#F7F7EE,#B6EB7A,5697
#070D59,#1F3C88,#EE6F57,#F6F5F5,5682
#EEEEEE,#068FFF,#4E4FEB,#000000,5674
#EFEFEF,#D1D1D1,#C0A080,#7882A4,5656
#CE1F6A,#FF9A8C,#D8F8B7,#C67ACE,5655
#BE5683,#FFE4E4,#93B5E1,#848CCF,5654
#8A79AF,#D38CAD,#FFD2A5,#FFFFC1,5624
#8FD6E1,#1597BB,#150E56,#7B113A,5618
#543A3A,#C2CFD8,#E1EEFF,#FAFAFA,5577
#F5F5F5,#F99417,#4D4C7D,#363062,5573
#DDA853,#16404D,#A6CDC6,#FBF5DD,5573
#141E27,#203239,#E0DDAA,#EEEDDE,5550
#F2F2F2,#5CB8E4,#8758FF,#181818,5537
#FFDCF7,#FFB3B3,#FCE2AE,#B6FFEA,5514
